Year,Station,StartDepth,EndDepth
2002,6,5.1816,6.7056
2002,7,2.7432,5.1816
2003,3,9.7536,2.1336
2003,9,2.77368,6.7056
2003,1,2.1336,1.2192
2003,4,8.8392,0
2003,6,4.572,4.8768
2003,9,1.8288,0
2003,8,4.572,2.1336
2003,9,3.6576,6.4008
2003,5,3.048,4.8768
2003,6,7.3152,2.7432
2003,9,3.3528,5.4864
2003,3,9.7536,1.8288
2003,5,3.048,0
2003,2,4.8768,9.4488
2003,4,7.3152,4.2672
2003,5,3.3528,5.1816
2003,6,7.62,5.4864
2003,7,2.4384,4.572
2003,9,3.048,6.096
2003,1,1.524,1.8288
2003,2,4.572,10.3632
2003,3,9.7536,6.4008
2003,7,2.4384,4.2672
2003,5,3.3528,6.4008
2003,8,3.9624,2.1336
2003,4,2.4384,2.286
2003,6,7.3152,7.0104
2003,9,3.048,4.8768
2003,3,9.7536,9.144
2003,7,2.4384,3.9624
2003,9,3.048,6.7056
2003,8,3.9624,2.7432
2003,2,4.8768,10.0584
2003,9,3.048,6.096
2003,1,3.048,2.7432
2003,5,3.048,5.4864
2003,7,3.048,4.572
2003,5,3.048,5.1816
2003,1,2.5908,1.3716
2003,3,10.0584,5.1816
2003,4,3.3528,3.9624
2003,5,3.6576,7.0104
2003,6,7.9248,5.1816
2003,9,3.048,6.7056
2004,4,11.8872,5.7912
2004,5,3.048,5.4864
2004,7,1.8288,3.9624
2004,8,3.6576,1.524
2004,9,3.048,6.4008
2004,3,9.7536,6.7056
2004,6,5.4864,5.4864
2004,4,11.2776,5.1816
2004,8,3.6576,11.2776
2004,9,2.7432,6.096
2004,2,4.572,8.8392
2004,3,9.4488,7.0104
2004,9,3.048,6.096
2004,2,4.572,10.668
2004,6,8.2296,3.9624
2004,7,1.8288,3.9624
2004,8,3.6576,1.88976
2004,2,4.8768,5.4864
2004,5,3.048,4.2672
2004,6,8.2296,4.8768
2004,4,8.5344,6.096
2004,1,2.1336,1.524
2004,4,10.668,4.8768
2004,8,3.9624,2.4384
2004,2,4.2672,9.4488
2004,5,3.6576,3.048
2004,8,3.6576,1.8288
2004,9,3.048,6.4008
2004,5,4.2672,6.7056
2004,6,7.62,4.2672
2004,7,1.9812,3.3528
2004,5,3.9624,6.096
2004,9,3.6576,6.096
2004,3,9.4488,7.0104
2004,1,3.048,2.1336
2004,7,2.7432,4.572
2004,9,3.3528,7.0104
2004,8,3.9624,1.9812
2004,4,9.144,6.096
2004,7,2.7432,4.572
2004,9,3.6576,7.0104
2006,5,4.2672,8.2296
2006,3,6.96,1.584
2006,9,4.2672,0
2006,7,3.48,4.572
2006,1,3.48,4.2672
2006,4,5.1816,0
2006,7,3.6576,1.8288
2006,8,4.2672,1.8288
2006,2,1.8288,11.2776
2006,9,5.7912,4.8768
2006,4,5.7912,7.14
2006,1,1.2192,1.8288
2006,8,2.1336,9.144
2006,9,3.3528,6.48
2006,5,3.6576,4.8768
2006,2,7.62,8.5344
2006,7,3.6576,2.1336
2006,9,4.8768,4.8768
2006,1,3.3528,2.4384
2006,6,7.3152,6.48
2006,9,3.6576,4.572
2006,7,2.7432,3.48
2006,9,2.9874,6.96
2007,5,3.9624,5.4864
2007,6,8.2296,4.8768
2007,8,4.572,5.1816
2007,1,3.3528,1.2192
2007,8,3.9624,1.8288
2007,2,4.8768,10.3632
2007,5,3.048,5.4864
2007,9,3.048,5.4864
2007,9,3.048,6.096
2007,2,5.7912,10.3632
2007,5,3.6576,6.7056
2007,8,3.6576,1.8288
2007,1,2.4384,1.2192
2007,3,9.7536,10.9728
2007,4,7.9248,5.4864
2007,1,1.3716,1.3716
2007,5,3.9624,5.7912
2007,6,9.144,5.1816
2007,7,2.286,0
2007,8,3.9624,0
2007,9,3.6576,0
2007,3,10.3632,14.6304
2007,4,5.4864,6.096
2007,5,3.048,3.6576
2007,5,3.9624,5.1816
2007,2,4.8768,9.4488
2007,5,3.6576,4.2672
2007,6,8.8392,6.096
2007,8,4.2672,1.9812
2007,5,3.9624,5.1816
2007,7,1.9812,3.6576
2007,1,1.8288,1.8288
2007,4,6.4008,5.4864
2007,5,3.9624,5.7912
2007,1,2.286,1.0668
2007,3,9.4488,7.62
2007,7,1.9812,3.048
2007,1,2.7432,0
2007,4,8.5344,7.3152
